天気概況,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均風速,平均蒸気圧,平均湿度,平均現地気圧
×,1.3242149155233671,1.248294106889389,1.3605063451881187,-0.34811269937574213,-0.48572749767027334,-0.07030177361895179,-0.48942171733070183,1.4054922001211883,0.5862224001536803,-0.7257986094376744
みぞれ時々雨一時曇,-1.5662699000817728,-1.7269823135667322,-1.3215504426560927,3.3882288833668275,-1.3553364047896335,17.083330989405287,-0.48942171733070183,-0.8244476531360471,1.5689280419380174,0.930548672160729
大雨,0.6324749596520518,0.43131246684610947,0.9425234691604493,3.2014118042296986,-1.3553364047896335,-0.07030177361895179,-0.5856755317009525,1.0469089071351003,1.6999554608425957,-0.889941132839321
大雨、雷を伴う,-0.9115874418464205,-1.239232080705073,-0.4971953260459671,5.069582595600983,-1.3553364047896335,-0.07030177361895179,0.18435498326105437,-0.49948154386740473,1.37238691358115,-2.5015222716918113
大雨後一時晴、雷を伴う,-0.45454497100287283,-0.7270943362003307,-0.17209753358000202,6.797640577619421,-1.073301083561733,-0.07030177361895179,1.628162198814817,-0.25295552993946907,1.1103320757719934,-0.7108765618557034
大雨後曇時々晴,0.8548199454678319,0.6873813390984806,1.0702404590577927,5.910259451718061,-0.7207569320268572,-0.07030177361895179,-0.2969140885901999,1.125349002475807,1.2413594946765718,-1.9046403684131088
晴,-0.4632643822113348,-0.2988783229379624,-0.6029204064529659,-0.3464643133833557,1.0917347646877391,-0.07030177361895179,0.6407113031576555,-0.6121979833906052,-0.8766601944397877,0.3907216566954276
晴、雷を伴う,1.2500999202514405,1.431200444212511,1.1979574489551363,-0.34811269937574213,1.2417388448506177,-0.07030177361895179,0.23248189044617965,0.8003828932071646,-0.5602675152613796,-0.9421682993762024
晴一時曇,-0.39895872454892783,-0.29192967531906927,-0.42462885451338567,-0.34811269937574213,0.6717924665359019,-0.07030177361895179,0.46108469957552556,-0.46726507613818585,-0.695389541006726,0.3616456080982113
晴一時曇後一時大雨、雷を伴う,1.4971499044911962,1.7360443397510479,1.453391428749823,3.3882288833668275,0.5013961266273786,-0.07030177361895179,-0.48942171733070183,1.831309860542168,0.8482772379628368,-0.05430646824913382
晴一時曇後一時雨,1.5712648997631227,1.6141067815356331,1.4069488869689706,-0.34811269937574213,0.9714549953405464,-0.07030177361895179,-0.10440645984969847,1.607195302425863,0.32416756234452376,-0.2482930868147054
晴一時曇後一時雨、雷を伴う,1.2500999202514407,1.3702316651048037,0.9889660109413017,-0.30140842959145997,1.2064844296971302,-0.07030177361895179,0.2806087976313053,0.7107370699606427,-0.3309695321783676,-1.9792506063229467
晴一時雨,-0.07985249490591013,0.10614564493833688,-0.2533719816964934,0.7727897754470286,0.7285912465054097,-0.07030177361895179,0.6656240551123085,-0.2903079562921866,-0.30913162902760466,-0.7407206570196397
晴一時雨、みぞれを伴う,-1.1215799284502128,-1.2148445690619898,-0.8919569311832104,-0.34811269937574213,1.3004962034397638,-0.07030177361895179,3.0719694143685796,-1.138208034498874,-1.510216302319572,0.18444629306235066
晴一時雨後曇,1.2500999202514407,1.321456641818638,1.2327893552907752,0.21233853803564326,-0.06267451582842254,-0.07030177361895179,-0.2969140885901999,1.2598177373455899,0.5207086907013911,-0.2482930868147054
晴後一時曇,-0.506200876798458,-0.34132824293701863,-0.6861320301089793,-0.34811269937574213,0.9479520519048878,-0.07030177361895179,0.6831247486341724,-0.8101858176195549,-1.2362498809736358,0.05693061372553257
晴後一時曇、雷を伴う,1.3859774115833061,1.5775255140710083,1.0702404590577927,-0.34811269937574213,1.1829814862614718,-0.07030177361895179,-0.10440645984969847,0.901234444359502,-0.2654558227260785,-0.0244623730851919
晴後一時雨,-0.4174874733669095,-0.07472839974786169,-0.6016910450528845,-0.34811269937574213,0.7599285044196208,-0.07030177361895179,1.0025124054081866,-0.8076390612773241,-1.0843771908796926,-0.5168899432901234
晴後一時雨、雷を伴う,1.5403836517331535,1.620203659446404,1.465002064195036,0.6560291009863233,0.7364255609839623,-0.07030177361895179,0.18435498326105437,1.6576210780020317,0.4879518359752466,-0.16622182511389058
晴後一時雨一時曇,-0.8868824434224452,-0.8246443827726627,-1.0428951919709797,0.025521458898514787,0.947952051904888,-0.07030177361895179,0.9543854982230611,-0.95891638800583,-0.8878360625228252,-0.3452863960974997
晴後時々曇,-0.4298399725788973,-0.2672155452164807,-0.5535898410655733,-0.34811269937574213,0.4409599863642571,-0.07030177361895179,-0.04940428020955494,-0.4866749976893301,-0.32161043082804064,0.026698932910120154
晴後時々曇、雷を伴う,0.793057449407893,0.9922252346370176,0.5942044058040581,-0.34811269937574213,1.441513864053714,-0.07030177361895179,0.2806087976313053,0.10562776304661897,-0.6585380794398134,0.7962502439230243
晴後曇一時雨,1.5465599013391473,1.662881804821799,1.4069488869689706,-0.34811269937574213,0.7599285044196208,-0.07030177361895179,-0.7781831604414542,1.6744296698607546,0.5207086907013911,0.06506991240659993
晴後曇時々雨、雷を伴う,1.7565523879429394,1.9555319445387942,1.7668785857705749,-0.34811269937574213,0.3133725791421115,-0.07030177361895179,-0.2969140885901999,1.976984323317766,0.3896812717968129,-0.30798127714258927
晴後雨時々曇,-0.17867248860181242,-0.03205025437246656,-0.22241028717592526,-0.11459135045433155,0.35254415153487556,-0.07030177361895179,0.7939624742726431,-0.4882758159615894,-0.7022138857413394,-0.05928048410978515
晴後雨時々曇、雷を伴う,-0.4792499694268483,-0.3003128824463792,-0.4971953260459671,0.025521458898514805,0.19585786196381957,-0.07030177361895179,0.7618778694825596,-0.7460075577953402,-0.5930243699875242,0.24413448339021754
晴時々曇,0.05388389656254418,0.16061108760788884,-0.06806623999089328,-0.3481126993757421,0.6160904905933915,-0.07030177361895179,0.07270055859156332,-0.12252085711577954,-0.5353723056695098,0.1313238036705408
晴時々曇、雷を伴う,1.4024474105326232,1.5246859055109951,1.2869723207017696,-0.13015944038242558,0.6502481017198818,-0.07030177361895179,-0.07232185505961475,1.1440252156521658,-0.19994211327378938,-0.7705647521835758
晴時々曇一時雨,0.22484248565645493,0.38863432147071464,0.22846938927984772,-0.34811269937574213,0.7011711458304749,-0.07030177361895179,1.146893126963563,0.43059387231526125,-0.06891469436921108,-0.6586493953188135
晴時々雨後曇,0.5707124635921129,0.5532500250615242,0.5942044058040581,-0.34811269937574213,-0.767762818898174,-0.07030177361895179,-0.20066027421994898,0.6659141583373818,1.0448183663197044,-0.2930592295606183
曇,-0.17043748912715392,-0.367847530073378,-0.0345561598444015,-0.20440725388564335,-1.1293465640621492,-0.07030177361895179,-0.40057204252739326,-0.10469512995483651,0.19314014343994548,0.6883523614072539
曇一時晴,0.13343399148774546,-0.03936650786539149,0.2621402320709655,-0.29206757563460356,-0.8852775360764659,-0.07030177361895179,-0.6049262945750027,0.23337306117291293,0.5600169163727646,0.48885606373448703
曇一時晴、雷を伴う,1.3242149155233671,1.467781711677135,1.2443999907359884,0.3991556171727717,0.3133725791421115,-0.07030177361895179,-0.2969140885901999,1.47272656755608,0.7172498190582586,-0.3527474198884852
曇一時晴後一時雨,-0.46689747021486055,-0.5807692663418329,-0.5436378678268193,-0.34811269937574213,-0.5562363279772485,-0.07030177361895179,-0.20066027421994898,-0.6003330950197419,-0.2654558227260785,0.6171856729394067
曇一時晴後雨,-1.4303924087499071,-1.5745603657974636,-1.379603619882158,-0.30140842959145997,-1.085052555279562,-0.07030177361895179,-1.0188176963670814,-0.9421077961471072,0.35692441707066835,0.6097246491484212
曇一時雨,0.40395372423027787,0.2575514463891436,0.44616880387759206,-0.07956314811611995,-1.032170932549331,-0.07030177361895179,-0.6819293460712035,0.44880318016221116,0.5452763317459997,-0.16808708106163478
曇一時雨後時々晴,0.45953997068422264,0.35814993191686084,0.5709831349136322,-0.34811269937574213,-0.46222455423461506,-0.07030177361895179,-1.0669446035522068,0.3969766885978155,0.6517361096059695,-0.47212380054421893
曇一時雨後晴,0.5429193403651403,0.7026235338754074,0.45197412160019856,-0.34811269937574213,0.5013961266273785,-0.07030177361895179,0.01591080811311532,0.3129337293042012,-0.036157839643066514,-0.23337103923274718
曇一時雪後みぞれ時々雨,-1.504507404021834,-1.8123386043175225,-1.15900154642311,-0.34811269937574213,-1.3553364047896335,-0.07030177361895179,-0.10440645984969847,-0.9252992042883842,0.6517361096059695,-0.009540325503237903
曇後一時大雨、雷を伴う,0.9412874399517462,1.0166127462801005,0.7103107602561886,6.610823498482293,-0.9087804795121243,-0.07030177361895179,-0.2969140885901999,0.901234444359502,0.6517361096059695,-1.0391616086589968
曇後一時晴,0.113669992748565,-0.005630450092459993,0.183961953406531,-0.309192474555507,-0.8617745926408076,-0.07030177361895179,-0.6017178340959944,0.19527358629314104,0.43335707809833895,-0.2507800947450424
曇後一時雨,0.5799768380011037,0.4038765162476413,0.6087177001105746,-0.2313520249150368,-1.1849400648811104,-0.07030177361895179,-0.8263100676265798,0.5650626071850444,0.5862224001536803,-0.438549193484797
曇後一時雨一時晴,0.9474636895577401,0.815415775224666,1.006381964109121,-0.324760564483601,-0.9675378381012703,-0.07030177361895179,-0.6819293460712034,1.2542148733926823,1.2086026399504273,-1.3002974413434292
曇後一時雨一時晴、雷を伴う,0.42248247304825964,0.29718115280915347,0.6290363121396974,-0.06788708067004942,-0.8147687057694908,-0.07030177361895179,-0.8744369748117052,0.6210912467141205,1.3068732041288609,-0.6213442763638946
曇後時々晴,-0.034559997795288296,-0.011727328003230711,0.009802421728335472,-0.34811269937574213,-0.23502943435658397,-0.07030177361895179,-0.45733711254061804,-0.24548504466892562,-0.19994211327378933,0.46299118125907407
曇後時々雨,0.5435369653257397,0.32278804003439054,0.6905726799993265,-0.20332946304446758,-1.2354713932677757,-0.07030177361895179,-0.4316694287085512,0.7096164971700611,0.9465478021412705,-0.19308151076143323
曇後晴,-0.26308123321706234,-0.34908790573254506,-0.038575225960052195,-0.324760564483601,-0.2624495350315188,-0.07030177361895179,-0.633802438886078,-0.14089825088131663,0.19314014343994546,0.16206322168940268
曇後晴一時雨,-0.003678749765318845,-0.12350342303402756,0.12397367027293041,-0.34811269937574213,-0.10968040269973935,-0.07030177361895179,-0.29691408859019996,-0.028840971823163974,0.029355869809222612,-0.419896634007346
曇後晴一時雨、雷を伴う,1.4971499044911962,1.6019130257140914,1.453391428749823,-0.34811269937574213,-0.20369217644237275,-0.07030177361895179,-0.2969140885901999,1.5063437512735258,0.3896812717968129,0.0799919599885709
曇時々晴,-0.037442247611418816,0.005750388674312072,-0.09585436082310315,-0.34811269937574213,-0.04543902397560642,-0.07030177361895179,-0.2584125628420997,-0.15322455157771334,-0.3156829999728335,0.2431396802180867
曇時々晴、みぞれを伴う,-1.2451049205700906,-0.6783193129141648,-1.2983291717656666,-0.34811269937574213,-0.27420100674934805,-0.07030177361895179,1.8206698275553188,-0.9925335717232757,-0.5275106605352351,-2.710430937839354
曇時々晴、雷を伴う,-0.36807747651895845,-0.21495659169558853,-0.34625706525819755,-0.30140842959145997,0.14885197509250297,-0.07030177361895179,-0.3931679029604509,-0.44345290433832846,0.25865385289223464,0.5127313398656269
曇時々晴一時雨,0.15690373999052212,0.10208105966448985,0.25169066017027375,-0.324760564483601,0.1723549185281614,-0.07030177361895179,-0.10440645984969826,0.0383933956117275,0.32416756234452376,-0.6288053001548886
曇時々晴一時雨、雷を伴う,0.8754074441544781,1.000354405184712,0.7451426665918279,1.333241012858414,-0.07834314478552816,-0.07030177361895179,0.24852419284122154,0.886293473818415,0.04027482138460414,-0.3875655309130728
曇時々晴後雨,-0.29396248124703167,-0.1377294714924927,-0.39269960703904977,0.6638131459503703,-0.6972539885911989,-0.07030177361895179,-0.26482948380011634,-0.3351308679154476,0.19314014343994548,0.6868218949885875
曇時々晴後雨、雷を伴う,1.1636324257675261,1.5287504907848426,1.1747361780647103,0.16563426825136113,-0.21544364816020212,-0.07030177361895179,-0.3931679029604508,1.366272152450835,0.8810340926889815,-1.3077584651344145
曇時々雨,0.2514978786928497,-0.012796955706874747,0.4432661450162888,0.06976760922046626,-1.2637986250928588,-0.07030177361895179,-0.5552795903208734,0.4123108425741943,0.9827527468385883,-0.37552317672412056
曇時々雨、雷を伴う,1.3612724131593303,1.2523586921632355,1.4340403696744681,0.49256415674133597,-0.7912657623338323,-0.07030177361895179,0.44103182158172327,1.831309860542168,1.1321699789227566,-0.6561623873884935
曇時々雨一時晴,0.5398312155621433,0.5684922198384512,0.5738857937749355,-0.2663802272532484,-0.5973664789896507,-0.07030177361895179,-0.6578658924786407,0.4754167839385224,0.5534655454275357,-0.8339834544069384
曇時々雨一時晴、雷を伴う,1.330391165129361,1.2056159615139936,1.4359754755820031,0.8661983150155929,-0.7442598754625156,-0.07030177361895179,-0.2487871814050747,1.8257069965892603,1.2086026399504273,-0.427357657798323
曇時々雨後晴,1.1512799265555385,1.0410002579231834,1.151514907174284,-0.16129562023861366,-0.41521866736329827,-0.07030177361895179,-0.6819293460712035,1.3718750164037425,0.913790947415126,-0.27813718197864734
曇時々霧後晴,-0.7139474544546162,-0.6173505338064574,-0.9035675666284234,-0.34811269937574213,0.3133725791421115,-0.07030177361895179,-0.9706907891819562,-0.4770700880557741,0.9793046568674152,1.0499250528164628
雨,-0.11396892130092409,-0.5407040686424824,0.23261604479599515,2.1405576762724334,-1.3553364047896335,-0.07030177361895179,-0.6131766215210243,0.25290304409447667,1.7467509675942308,-0.2120538284013643
雨一時みぞれ後曇,-1.3439249142659928,-1.4343321738497365,-1.2170547236491753,-0.25470415980717787,-1.3553364047896335,-0.07030177361895179,-1.0669446035522068,-0.869270564759308,0.5207086907013911,1.0797691479804048
雨一時曇,-0.1580849899151661,-0.7270943362003307,0.28071724878330623,3.9019758509939306,-1.3553364047896335,-0.07030177361895179,-0.9706907891819562,0.19527358629314087,1.8309828797471739,1.825871527078783
雨一時曇、みぞれを伴う,-1.3315724150540051,-1.348975883098946,-1.089337733751832,1.3799452826426961,-1.3553364047896335,-0.07030177361895179,-0.2969140885901999,-0.7684190136069707,1.1758457852242825,-0.6959545142737324
雨後一時曇,-0.1086749930672149,-0.47102546394795974,0.20524811838942153,0.515916291633477,-1.3553364047896335,-0.07030177361895179,-0.7300562532563288,0.3801680967390927,1.5034143324857283,-0.18114387269585303
雨後時々曇,0.7395299528226124,0.4272478815722625,0.8999511391946683,2.6409605668183134,-1.3396677758325277,-0.07030177361895179,-0.7781831604414543,1.200053855181242,1.5907659450887806,-0.9396812914458739
雨後曇,-0.1889662379451355,-0.5929630221633746,0.1065577171051107,-0.09123921556219047,-1.3553364047896335,-0.07030177361895179,-0.8263100676265798,0.19527358629314107,1.2413594946765716,-0.7854867997655413
雨後曇時々晴,-0.6110099610213847,-0.7027068245572479,-0.3269060061828426,-0.17686371016670768,-0.6502481017198821,-0.07030177361895179,-0.4894217173307018,-0.3276603826449041,0.8046014316613107,-0.7606167204622677
雨後曇時々晴、雷を伴う,1.2253949218274653,1.248294106889389,1.3837276160785448,-0.02118281088576731,-1.0027922532547577,-0.07030177361895179,0.18435498326105437,1.6520182140491237,1.2413594946765718,-0.09907261099502973
雨時々みぞれ,-1.5292124024458094,-1.8123386043175225,-1.3331610781013057,2.220622138759774,-1.3553364047896335,8.506514607893166,-0.10440645984969847,-0.7572132857011554,1.8309828797471739,0.7067179584312155
雨時々曇,0.5095675924927734,0.1843889114598947,0.7886825495113767,0.19599204361114453,-1.3459352274153702,-0.07030177361895179,-0.8263100676265797,0.8989932987783389,1.4280735666155957,-0.4087050983208627
雨時々曇、雷を伴う,-0.13337999149119062,-0.5319942430556671,0.04850453987904551,1.286536743074132,-1.3553364047896335,-0.07030177361895179,-1.0669446035522068,0.06080485142335792,1.3068732041288609,-0.2632151343966764
雨時々曇一時晴,0.7065899549239782,0.6751875832769391,0.7915852083726801,0.7727897754470285,-1.190815800740025,-0.07030177361895179,-0.008152645479447518,0.9572630838885782,1.2413594946765718,-0.5616560860360277
雨時々曇後晴,0.2433712344744366,0.27279364116607047,0.2749119310606999,-0.34811269937574213,0.5366505417808661,-0.07030177361895179,1.4837814772594407,0.20647931419895627,-0.36372638690451226,-0.9869344421221069
